,earliest division time (frame),earliest division {hours},centroid_x,centroid_y,v,rep,condition,labels,id,growth_rate
23,26.0,6.5,947.0271224146612,86.65367283528099,9,1,hypoxia 3.5 days,20,20_9_1,0.2614030277289064
44,28.0,7.0,653.9970054185644,922.054268976067,9,1,hypoxia 3.5 days,3,3_9_1,0.28652289527292385
49,28.0,7.0,664.1105271381532,933.3814133020064,9,1,hypoxia 3.5 days,3,3_9_1,0.28652289527292385
70,29.0,7.25,723.7412695686445,554.5532245533651,9,1,hypoxia 3.5 days,5,5_9_1,0.3011733017494846
73,29.0,7.25,244.41955291974685,322.77588881308003,9,1,hypoxia 3.5 days,1,1_9_1,0.2762363028128624
80,30.0,7.5,751.7837528989708,528.78445608766,9,1,hypoxia 3.5 days,5,5_9_1,0.3011733017494846
188,35.0,8.75,745.7205132599812,546.9741750046284,9,1,hypoxia 3.5 days,5,5_9_1,0.3011733017494846
325,50.0,12.5,205.25781953806307,365.3930692578536,9,1,hypoxia 3.5 days,1,1_9_1,0.2762363028128624
351,69.0,17.25,656.7695691151227,390.7330143871784,9,1,hypoxia 3.5 days,5,5_9_1,0.3011733017494846
117,32.0,8.0,427.8435396821792,643.5930945454386,10,1,hypoxia 3.5 days,1,1_10_1,0.3017174694714601
120,32.0,8.0,475.22081838099945,929.8515995256788,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
143,33.0,8.25,471.7298610031917,948.8025110052072,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
145,33.0,8.25,466.2440708380652,920.8748519827446,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
163,34.0,8.5,481.2053167429557,973.7379208466914,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
165,34.0,8.5,425.34999869803073,639.1047207739714,10,1,hypoxia 3.5 days,1,1_10_1,0.3017174694714601
168,34.0,8.5,662.2363617533995,802.6810093341089,10,1,hypoxia 3.5 days,7,7_10_1,0.2735973828094031
178,34.0,8.5,666.7247355248667,825.6215863882744,10,1,hypoxia 3.5 days,7,7_10_1,0.2735973828094031
209,36.0,9.0,582.6930788830833,280.7093956385489,10,1,hypoxia 3.5 days,5,5_10_1,0.30486476532795603
232,37.0,9.25,429.3396642726682,618.6576847039541,10,1,hypoxia 3.5 days,1,1_10_1,0.3017174694714601
245,39.0,9.75,681.6859814297572,800.1874683499605,10,1,hypoxia 3.5 days,7,7_10_1,0.2735973828094031
279,42.0,10.5,779.432788008376,713.4122421015948,10,1,hypoxia 3.5 days,4,4_10_1,0.25344594652560504
284,42.0,10.5,776.4405388273979,723.8851142350182,10,1,hypoxia 3.5 days,4,4_10_1,0.25344594652560504
287,42.0,10.5,485.6936905144229,971.2443798625428,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
312,46.0,11.5,500.6549364193136,899.4303995190681,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
313,46.0,11.5,804.3681978498603,737.3502355494198,10,1,hypoxia 3.5 days,4,4_10_1,0.25344594652560504
317,47.0,11.75,484.6962741207636,918.880019195426,10,1,hypoxia 3.5 days,6,6_10_1,0.25192084585476043
