,level_0,index,axis-0,axis-1,axis-2,name,condition,time
181,2,2.0,52.0,872.9506321826218,497.25074492550607,19,hypoxia 5 days,13.0
182,4,4.0,52.0,314.0061030969898,925.0888571750428,14,hypoxia 5 days,13.0
183,10,10.0,52.0,400.7062002270236,989.0760435719462,10,hypoxia 3.5 days,13.0
184,0,0.0,53.0,709.8609227362117,866.6478949441828,14,hypoxia 5 days,13.25
185,2,2.0,53.0,481.3332983657842,1097.3467182154243,18,hypoxia 5 days,13.25
186,5,5.0,54.0,88.56414886125017,816.3036904174588,12,hypoxia 5 days,13.5
187,1,1.0,54.0,798.0826124823441,710.3366471493734,18,hypoxia 5 days,13.5
188,1,1.0,55.0,291.28370989584835,773.6865099726855,15,hypoxia 5 days,13.75
189,0,0.0,55.0,543.5313455013995,247.306740695348,17,hypoxia 5 days,13.75
190,6,6.0,55.0,68.9832821704083,809.3927962912795,12,hypoxia 5 days,13.75
191,15,15.0,56.0,716.4699024349374,309.5584953624061,4,hypoxia 3.5 days,14.0
192,2,2.0,56.0,783.1090085422884,226.5740583168096,10,hypoxia 3.5 days,14.0
193,5,5.0,56.0,848.796040492596,681.4010712690038,13,hypoxia 5 days,14.0
194,0,0.0,57.0,586.3630402860924,366.040407155306,13,hypoxia 5 days,14.25
195,4,4.0,57.0,684.0528594003824,652.7458627645444,10,hypoxia 3.5 days,14.25
196,11,11.0,57.0,384.58078059927146,926.8779964363306,12,hypoxia 5 days,14.25
197,9,9.0,57.0,134.6367763691134,699.9703059601043,12,hypoxia 5 days,14.25
198,2,2.0,57.0,868.3433694318353,746.0429334679675,11,hypoxia 5 days,14.25
199,5,5.0,57.0,506.673243495109,898.0826042439162,11,hypoxia 5 days,14.25
200,6,6.0,57.0,747.4027222236944,992.5314906350358,10,hypoxia 3.5 days,14.25
201,12,12.0,58.0,427.1979610440449,924.5743650609376,12,hypoxia 5 days,14.5
202,16,16.0,58.0,211.80842744478437,1095.0430868400313,12,hypoxia 5 days,14.5
203,17,17.0,58.0,212.9602431324809,1055.8813534583478,12,hypoxia 5 days,14.5
204,9,9.0,58.0,377.669886473092,865.8317649884118,11,hypoxia 5 days,14.5
205,2,2.0,58.0,255.5774235772544,824.366400231335,16,hypoxia 5 days,14.5
206,7,7.0,59.0,954.7295460090792,334.8447329602882,10,hypoxia 3.5 days,14.75
207,1,1.0,60.0,951.2740989459892,869.2872120515017,12,hypoxia 5 days,15.0
208,2,2.0,60.0,286.676447145062,778.2937727234718,15,hypoxia 5 days,15.0
209,0,0.0,61.0,604.5775769493184,810.5446119789759,16,hypoxia 5 days,15.25
210,3,3.0,61.0,304.08216611439093,628.4734073618097,14,hypoxia 5 days,15.25
211,11,11.0,62.0,199.138454880122,228.87768969220275,11,hypoxia 5 days,15.5
212,1,1.0,62.0,837.2443458640278,346.362889837254,10,hypoxia 3.5 days,15.5
213,4,4.0,62.0,544.4619730262305,636.1920250149421,13,hypoxia 5 days,15.5
214,16,16.0,63.0,161.83906936380703,170.86964649752818,13,hypoxia 5 days,15.75
215,12,12.0,63.0,252.12197651416463,1096.1949025277283,10,hypoxia 3.5 days,15.75
216,5,5.0,63.0,673.6865182111133,653.897678452241,10,hypoxia 3.5 days,15.75
217,10,10.0,63.0,224.4784000094467,391.28370165742064,11,hypoxia 5 days,15.75
218,14,14.0,64.0,246.36289807568176,1077.765851524583,10,hypoxia 3.5 days,16.0
219,9,9.0,64.0,283.13163248445994,991.2484370590352,14,hypoxia 5 days,16.0
220,6,6.0,65.0,843.28274216893,624.0627687028768,13,hypoxia 5 days,16.25
221,3,3.0,65.0,773.8944830407158,215.05590143984372,10,hypoxia 3.5 days,16.25
222,8,8.0,65.0,72.43872923349804,714.9439099001598,12,hypoxia 5 days,16.25
223,7,7.0,66.0,390.3398590377544,901.538051307006,12,hypoxia 5 days,16.5
224,9,9.0,66.0,939.7559420690234,295.6829995786044,10,hypoxia 3.5 days,16.5
225,19,19.0,66.0,66.67965079501514,364.79194084039926,11,hypoxia 5 days,16.5
226,0,0.0,67.0,716.3036986558868,511.072533177865,10,hypoxia 3.5 days,16.75
227,2,2.0,68.0,664.6518764821502,303.1888062655132,13,hypoxia 5 days,17.0
228,1,1.0,69.0,618.3993652016773,792.1155609758308,16,hypoxia 5 days,17.25
229,20,20.0,71.0,78.19780767198094,339.4519957110745,11,hypoxia 5 days,17.75
230,14,14.0,71.0,360.3178090157846,820.336189025388,13,hypoxia 5 days,17.75
231,6,6.0,72.0,574.6303690692073,562.9042391242111,19,hypoxia 5 days,18.0
232,0,0.0,73.0,177.25395681388687,415.4718310990488,19,hypoxia 5 days,18.25
233,15,15.0,74.0,308.49280477332377,796.0776764012575,13,hypoxia 5 days,18.5
234,3,3.0,74.0,867.1915537441389,484.5807723608437,19,hypoxia 5 days,18.5
235,1,1.0,74.0,693.3210277652137,806.0016133838562,14,hypoxia 5 days,18.5
236,1,1.0,76.0,862.5842909933524,702.2739373354975,11,hypoxia 5 days,19.0
237,6,6.0,76.0,383.4289649115749,657.3531255153307,11,hypoxia 5 days,19.0
238,7,7.0,76.0,364.9999139084296,652.7458627645444,11,hypoxia 5 days,19.0
239,1,1.0,77.0,174.9503254384937,426.9899879760146,19,hypoxia 5 days,19.25
240,7,7.0,78.0,828.9481665273983,628.4734073618097,13,hypoxia 5 days,19.5
241,14,14.0,78.0,297.04278833433125,883.1090003038605,11,hypoxia 5 days,19.5
242,7,7.0,81.0,506.673243495109,568.663317562694,19,hypoxia 5 days,20.25
243,13,13.0,81.0,384.58078059927146,928.0298121240272,12,hypoxia 5 days,20.25
244,0,0.0,82.0,436.4124865456176,602.0659725058949,15,hypoxia 5 days,20.5
245,17,17.0,82.0,368.45536097151927,1013.2641730135742,11,hypoxia 5 days,20.5
246,10,10.0,84.0,56.31330960574592,680.3894392692624,12,hypoxia 5 days,21.0
247,3,3.0,85.0,682.2944311178816,168.66432716806173,13,hypoxia 5 days,21.25
248,8,8.0,85.0,804.6896539032678,588.7776594314141,13,hypoxia 5 days,21.25
249,14,14.0,91.0,397.2507531639338,918.8152866224548,12,hypoxia 5 days,22.75
250,15,15.0,92.0,246.36289807568173,863.5281336130188,11,hypoxia 5 days,23.0
251,21,21.0,92.0,50.554231167263,291.07573682781805,11,hypoxia 5 days,23.0
252,10,10.0,95.0,269.8997165076615,951.5526891286402,14,hypoxia 5 days,23.75
253,11,11.0,100.0,489.3960081796603,535.2606626194932,19,hypoxia 5 days,25.0
254,11,11.0,102.0,41.33970566569037,1077.765851524583,10,hypoxia 3.5 days,25.5
255,4,4.0,106.0,930.5414165674508,438.5081448529804,19,hypoxia 5 days,26.5
256,12,12.0,110.0,194.53119212933564,215.05590143984372,11,hypoxia 5 days,27.5
257,8,8.0,127.0,430.6534081071347,422.3827252252282,19,hypoxia 5 days,31.75
258,5,5.0,130.0,1005.4094362677286,458.0890115438223,19,hypoxia 5 days,32.5
0,0,0.0,>36.5,0.0,0.0,na,hypoxia 3.5 days,>32
1,1,1.0,>36.5,1.0,1.0,na,hypoxia 3.5 days,>32
2,2,2.0,>36.5,2.0,2.0,na,hypoxia 3.5 days,>32
3,3,3.0,>36.5,3.0,3.0,na,hypoxia 3.5 days,>32
4,4,4.0,>36.5,4.0,4.0,na,hypoxia 3.5 days,>32
5,5,5.0,>36.5,5.0,5.0,na,hypoxia 3.5 days,>32
6,6,6.0,>36.5,6.0,6.0,na,hypoxia 3.5 days,>32
7,7,7.0,>36.5,7.0,7.0,na,hypoxia 3.5 days,>32
8,8,8.0,>36.5,8.0,8.0,na,hypoxia 3.5 days,>32
9,9,9.0,>36.5,9.0,9.0,na,hypoxia 5 days,>32
10,10,10.0,>36.5,10.0,10.0,na,hypoxia 5 days,>32
11,11,11.0,>36.5,11.0,11.0,na,hypoxia 5 days,>32
12,12,12.0,>36.5,12.0,12.0,na,hypoxia 5 days,>32
13,13,13.0,>36.5,13.0,13.0,na,hypoxia 5 days,>32
14,14,14.0,>36.5,14.0,14.0,na,hypoxia 5 days,>32
15,15,15.0,>36.5,15.0,15.0,na,hypoxia 5 days,>32
16,16,16.0,>36.5,16.0,16.0,na,hypoxia 5 days,>32
